community,count,location
申浦路,4,"121.415737,31.422529"
镇南周村,1,"121.344294,31.378604"
澳门路,1,"121.447771,31.246994"
长发路889弄,2,"121.325494,31.470898"
月浦镇绥化路168弄,1,"121.432566,31.406135"
华和路728弄,1,"121.395709,31.292721"
共富路476弄,1,"121.424867,31.348359"
淞南路1169弄,1,"121.490062,31.348687"
宝山区行知路684弄,1,"121.408709,31.285475"
西行政村,1,
乡新春村,3,"121.822866,31.332404"
建国西路,3,"121.457998,31.204537"
场中路3123弄,1,"121.431905,31.306999"
长兴镇金滂路759弄,1,"121.700288,31.384433"
埝钱家村,1,"121.364069,31.384849"
乡张迁村,1,
呼兰路515弄,1,"121.448705,31.346449"
工农四村,1,"121.541033,31.322736"
镇平安村,2,"121.318305,31.743054"
宝山区三门路489弄,1,"121.492983,31.312806"
罗店镇罗东路601弄,1,"121.370492,31.435718"
长橘路500弄,1,"121.695838,31.396669"
都会路1799弄,1,"121.420946,31.060143"
杨圩村,1,
绿海路,2,"121.436121,31.627510"
南东路108弄,1,"121.360784,31.386850"
昆阳路3388弄,2,"121.356487,31.046547"
马场村,1,"121.513436,31.105585"
海江璐667弄,1,
泰和西路2038弄,1,"121.437912,31.355207"
镇富国村,1,"121.648476,31.599424"
汪六楼村,1,
南园路358弄,2,"121.745512,31.029351"
华江路666弄,1,"121.326382,31.249545"
浦镇四村,1,
武威路1019弄,2,"121.355883,31.277446"
蕴川路1623弄,1,"121.433314,31.368908"
罗太路,2,"121.338436,31.418593"
东体育会路992弄,2,"121.488173,31.286816"
宝山区友谊街道牡丹江路1242弄,1,"121.487851,31.390931"
鹤林路78弄,1,"121.402713,31.447311"
美安路215弄,1,"121.349809,31.387833"
上海市塔源路295弄,1,"121.399128,31.452735"
县富强村,1,"121.650089,31.610255"
盛桥新月明月园,3,"121.403166,31.445906"
工农三村,2,"121.535764,31.322121"
木鱼庙村,1,
建国新路,1,"121.481529,31.213838"
人民街78弄,1,"121.245426,31.381843"
长岛路1560弄,1,"121.602819,31.265713"
繁兴路300弄,2,"121.295124,31.210873"
团山子村,1,
镇德都路219弄,1,"121.423723,31.410331"
高杨路223弄,1,"121.149102,31.361242"
潘泾路588弄,1,"121.399017,31.366503"
上海市闵行区沧源路755弄,1,"121.429568,31.015459"
沧源路755弄,1,"121.429568,31.015459"
嘉定区顺宁路501弄,1,"121.274674,31.408205"
杨浦区国安路738弄,1,"121.505024,31.319606"
长兴镇丰福路599弄,4,"121.709618,31.382306"
乡江海村,2,"121.824850,31.372447"
镇许冯村,1,"121.576767,31.037672"
上海市罗店镇罗芬路555弄,1,"121.355240,31.400584"
火车站路121弄,1,"121.311707,31.283647"
江场一路,1,"121.447568,31.298618"
水电路1200弄,1,"121.475787,31.288820"
宁波路,3,"121.478020,31.237211"
罗店镇邱家弄,2,"121.343832,31.416679"
乡万发村,1,
南大街路塔前小区弄,1,"121.251916,31.382217"
长宁路1302弄,3,"121.412682,31.219956"
康健路55弄,1,"121.430458,31.165683"
宝山区罗店镇祁北东路85弄,1,"121.353896,31.423771"
镇美满村,1,"121.353998,31.222936"
江桥镇金园一路1118弄,2,"121.314305,31.247777"
上海市徐汇区华泾路880弄,1,"121.447107,31.121405"
美满村,2,"121.353998,31.222936"
美兰湖558弄,1,"121.349807,31.392286"
东西巷街,2,"121.340394,31.414044"
大寨村,1,
繁锦路688弄,3,"121.585452,31.314745"
云市村,1,
浦东新区浦电路305弄,3,"121.526059,31.218818"
共和新路4828弄,1,"121.445905,31.319477"
多稼路,1,"121.502129,31.211656"
月浦聚源桥村夹弄,1,"121.389085,31.443388"
潘沪路,1,"121.336710,31.480071"
镇萧泾村,1,"121.327474,31.464649"
美丹路998弄,1,"121.340146,31.395423"
月浦镇月丰路十弄,1,"121.393948,31.412064"
联泰路158弄,4,"121.428553,31.347151"
乡夏庙村,1,
虹口区曲阳街道赤峰路365弄,1,"121.491673,31.280991"
月辉路108弄,1,"121.438722,31.388211"
友谊路16弄,3,"121.491337,31.407800"
杨鑫路90弄,1,"121.450681,31.372156"
富联路128弄,1,"121.410199,31.353106"
月浦街道德都路7弄,2,"121.426405,31.411354"
浦镇六村,1,
上海市徐汇区天钥桥路69弄,1,"121.441592,31.193923"
广元西路50弄,2,"121.435032,31.198116"
镇双塘村,1,"121.235375,31.476757"
大连西路270弄,1,"121.487488,31.277642"
江浦路740弄,1,"121.524761,31.262425"
镇庄家村,1,"121.322880,31.130952"
罗南新村,1,"121.351811,31.328852"
镇三协村,1,"121.278450,31.768100"
河庄村,1,
菊联路89弄,1,"121.367850,31.347860"
共康三村,1,"121.436046,31.313738"
江桥镇临潭路490弄,2,"121.339689,31.257116"
镇泰路308弄,2,"121.439205,31.382685"
宝山区罗店镇富南路25弄,1,"121.366400,31.385579"
盛桥新村,1,
城桥镇嘉年花苑58弄,1,"121.403099,31.629334"
蒋家院村,1,"121.621436,31.103637"
镇同兴村,1,"121.292204,31.755358"
菊太路139弄,2,"121.375360,31.354314"
新镇村,1,"121.569138,31.129698"
乡民永村,1,"121.850200,31.348213"
新联村,1,"121.184097,31.208727"
镇长兴村,1,"121.142293,30.800678"
桥行政村,1,
镇坪路,2,"121.429186,31.249576"
塘祁路,1,"121.392470,31.330926"
乡峡门村,1,"121.292204,31.755358"
江杨北路1388弄,1,"121.442497,31.392822"
桂泰路96弄,1,"121.437685,31.390644"
上海市静安区共和新路1304弄,1,"121.459050,31.263755"
顾泾河路30弄,1,"121.402196,31.453397"
德都路118弄,1,"121.427928,31.405652"
宝山区双层路2弄,2,
富锦路1859弄,1,"121.432226,31.400948"
水寨门村,1,
光启南路,1,"121.494987,31.218198"
兴工路,1,"121.756218,31.522348"
李香铺村,1,
铁印路,1,"121.443583,31.401461"
市光三村,1,"121.541092,31.318513"
科盛路1755弄,1,"121.334883,31.322647"
嘉涛路,1,"121.325905,31.269925"
胡集村,1,
厂海陆村,1,"121.388854,31.461783"
共和新路4739弄,1,"121.447876,31.321312"
新风中路899弄,1,"121.083654,31.134300"
宝山区上海市宝山区蕴川路5300弄,1,"121.406193,31.442068"
月浦月宁路88弄,1,"121.414310,31.428003"
月浦绥化路256弄,1,"121.429627,31.405820"
淞南三村,1,"121.490890,31.344789"
乡海鸿村,1,"121.839434,31.306771"
松江区马尾小路188弄,1,"121.712402,31.012924"
月浦乐业一村20弄,1,"121.434963,31.412384"
惠钥苑1026弄,1,
曹杨路701弄,1,"121.416573,31.240584"
杨泰2村,1,"121.441544,31.369593"
寅北村,3,"121.460721,31.219736"
处河口村,1,
上海市松江区九亭镇虬泾路900弄,1,"121.335365,31.122955"
石太路3512弄,2,"121.343369,31.429525"
清涧路187弄,1,"121.385497,31.261840"
大连路210弄,1,"121.509717,31.256163"
织锦村,1,
宝丰村,1,"121.312551,31.437355"
牡丹江路1242弄,3,"121.486190,31.392206"
邯郸路470弄,1,"121.510808,31.300721"
康桥镇康佳路39弄,1,"121.594729,31.127959"
镇西门村,1,"121.388466,31.621939"
镇合众村,2,"121.349656,31.460710"
塔源路295弄,1,"121.399128,31.452735"
东街村,1,"121.325352,31.298951"
浏翔公路,1,"121.286596,31.438258"
乡民建村,1,"121.865742,31.348660"
环龙路259弄,2,"121.527222,31.204301"
靖远路1288弄,3,"121.324759,31.256242"
美艾路189弄,1,"121.362479,31.393994"
乡兴胜村,2,"121.863379,31.312760"
龙州南路,2,"121.429451,31.122584"
德都路360弄,1,"121.423723,31.414951"
镇致远村,1,"121.460721,31.219736"
号自然村,1,
圆展路120弄,1,"121.777629,31.358935"
北新村,1,
塔虹路,1,"121.407441,31.422568"
良路二村,1,"121.489170,31.340508"
上海涵清路398弄,1,
江桥镇河东小区香思路60弄,2,"121.296580,31.270871"
上海市嘉定区丰庄北路480弄,1,"121.368945,31.249149"
杨行镇杨北185弄,1,"121.424564,31.335064"
合兆路,1,"121.339304,31.445669"
同鸣路206弄,2,"121.476726,31.269574"
镇庙南村,3,"121.335133,31.698826"
楼行政村,3,
刘行政村,1,
九亭镇虬泾路900弄,1,"121.335365,31.122955"
河新一村,1,
长兴镇渔傲路132弄,2,"121.769588,31.357822"
罗店镇南东路601弄,1,"121.360477,31.388569"
民京路838弄,1,"121.522262,31.322862"
浦镇九村,1,"121.496404,31.400611"
石西路,1,"121.586817,31.438171"
泰和新城3463弄,1,"121.405474,31.351407"
上海市静安区新村路,1,
杨北支路,1,"121.416015,31.396792"
广中支路10弄,3,"121.476121,31.275652"
镇强民村,1,"121.541263,31.600815"
罗店镇步长街25弄,1,
惠裕路588弄,1,"121.279165,31.296949"
美丹路1033弄,1,"121.338460,31.391070"
苏桥村,1,
控江路1505弄,1,"121.523280,31.274281"
江桥镇张掖路201弄,2,"121.336272,31.256330"
区土墩村,1,"121.142293,30.800678"
罗贤路,1,"121.350781,31.388566"
南周村,1,"121.340296,31.377622"
泾桥宅村,1,
江南一村,1,"121.463586,31.191875"
丰新村,1,
闻喜路1202弄,1,"121.442430,31.307980"
新顾村大家园B区13弄,1,"121.426604,31.228148"
梅川路255弄,1,"121.398170,31.238536"
宝山区大康路891弄,1,"121.421279,31.329721"
大康路891弄,1,"121.421279,31.329721"
杨鑫路451弄,1,"121.435014,31.366977"
大场镇涵青路398弄,1,"121.397112,31.332812"
山11村,1,"121.426359,31.171832"
湄浦路219弄,1,"121.462733,31.406383"
镇陈南村,1,"121.806633,31.498756"
罗泾镇罗宁路118弄,1,"121.327231,31.485993"
龙江路300弄,2,"121.530468,31.256803"
徐汇区天钥桥路69弄,1,"121.441592,31.193923"
宝山区陆祥路3489弄,1,
松江区古楼公路1198弄,1,"121.251867,31.105758"
塔城路450弄,1,"121.245356,31.380186"
桃源路,1,"121.481073,31.224838"
乐业一村20弄,1,"121.433848,31.409910"
安家路165弄,1,"121.425626,31.409903"
月浦园和路,1,"121.404133,31.410412"
上海市黄浦区董家渡路450弄,1,"121.499000,31.215025"
宝山区杨行镇盘古路丽景翠庭2618弄,2,"121.430762,31.388538"
中华路,1,"121.136739,31.358513"
霍山路47弄,1,"121.509893,31.253005"
抚远路,1,"121.359503,31.416273"
月浦镇绥化路庆安苑50弄,1,"121.436675,31.406309"
镇凤池村,1,"121.241389,31.161221"
张江镇益江路126弄,1,"121.634064,31.202316"
同济新村,1,
镇保安村,1,"121.369986,31.762325"
镇绿港村,1,"121.224578,31.738044"
镇代千村,1,"121.142293,30.800678"
海德路333弄,1,
阳曲路501弄,1,"121.459400,31.314522"
静安区场中路3117弄,1,"121.431845,31.306158"
藴川路1438弄,1,"121.429267,31.360494"
涇橋一村,1,"121.417404,31.418911"
前曹路,1,"121.303780,31.476954"
共和新路1304弄,1,"121.459050,31.263755"
殷行路451弄,1,"121.537577,31.327193"
镇德都路339弄,1,"121.423703,31.416012"
麻窝凼村,1,"121.292204,31.755358"
四溏三村,1,"121.511364,31.271500"
老翔黄公路,1,"121.295375,31.275170"
天峰路,1,"121.130393,31.075118"
共和新路4719弄,1,"121.447775,31.320070"
东太路80弄,1,"121.367384,31.387003"
陆翔路,1,"121.345022,31.395101"
共富路518弄,2,"121.423915,31.348177"
月浦镇鹤林路158弄,1,"121.402334,31.450173"
罗东路51弄,1,"121.378392,31.418566"
月城路1179弄,2,"121.427299,31.391530"
碧江路280弄,1,"121.401523,31.005937"
东方丽都2858弄,1,"121.433971,31.383412"
市光四村,2,"121.532672,31.319669"
都市路1905弄,1,"121.411170,31.056619"
航东路,1,"121.355748,31.176606"
横仓公路,2,"121.290798,31.360950"
镇营房村,1,"121.652522,31.553531"
月浦镇绥化路216弄,1,"121.431682,31.406371"
上海市普陀区桃浦新村,1,
平陆路,1,"121.446630,31.294016"
祁北东路361弄,1,"121.346676,31.421186"
杨北中心村232弄,1,"121.410631,31.391889"
浦镇八村,1,
镇北东村,1,"121.410112,31.389139"
莲路三村,1,"121.534716,31.285674"
新建公路,1,"121.218819,31.767874"
淞发路500弄,1,"121.489819,31.342177"
月罗路1116弄,1,"121.372112,31.416972"
虹口区场中路32弄,1,"121.478783,31.307159"
江杨北路2518弄,1,"121.435039,31.416609"
东新路88弄,1,"121.427879,31.242332"
镇坪路48弄,1,"121.428847,31.250717"
普陀区金汤路59弄,2,"121.385728,31.248376"
汶水东路298弄,1,"121.482263,31.289736"
闸北区保德路1316弄,1,"121.442457,31.315286"
周家嘴路1220弄,1,"121.509980,31.262749"
都陆西路1737弄,2,
长兴镇丰福路699弄,1,"121.709885,31.385306"
宝山区岭南路1288弄,3,"121.457098,31.323436"
丰庄北路480弄,1,"121.368945,31.249149"
罗芬路98弄,1,"121.358191,31.392205"
区杨东村,1,"121.463616,31.386655"
场中路,3,"121.433186,31.304170"
双生村,1,"121.460622,31.220124"
杨泰路55弄,1,"121.450650,31.363514"
宏伟新村,1,
月浦镇春雷路413弄,1,"121.434266,31.411354"
西大宋村,1,"121.126277,31.017046"
秀沿路867弄,1,"121.569988,31.137870"
高行镇巨峰路995弄,1,"121.612934,31.281265"
奎照路275弄,1,"121.479818,31.300067"
江场路,2,"121.458412,31.298169"
沪太路6507弄,1,"121.326912,31.452983"
张渡村,2,
盛桥聚源桥村6队夹弄,2,"121.385307,31.439431"
半岭村,2,
季乐路555弄,1,"121.287189,31.215714"
罗升路,1,"121.338996,31.409975"
灶民义村,1,"121.699677,31.127566"
乡新北村,1,"121.838068,31.344427"
开鲁路,1,"121.539394,31.324625"
开鲁路470弄,1,"121.530098,31.325025"
富阳路223弄,1,
上海市宝山区聚丰园路188弄,1,"121.384935,31.313569"
密云路611弄,1,"121.499216,31.287945"
罗泾街道潘泾路（金石路）4655弄,1,"121.351596,31.460473"
马陆镇天祝路377弄,1,"121.262675,31.347310"
交通西路129弄,1,"121.447184,31.255753"
上海市普陀区真光路798弄,1,"121.376606,31.236980"
纪翟路,1,"121.292375,31.209523"
影园路,1,"121.442305,31.375076"
宣黄公路,1,"121.734219,31.025394"
